step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
1	ISS00	common_area	51.93	49.33	56.8	false	
1	ISS01	common_area	47.03	48.68	67.7	false	
1	ISS02	common_area	51.74	54.11	66.2	false	
1	ISS03	cupola	50.97	24.08	57.2	false	
1	ISS04	common_area	48.18	50.93	37.2	false	
1	ISS05	common_area	53.13	50.9	57.4	false	
1	ISS06	common_area	47.7	46.17	43.2	false	
1	ISS07	common_area	48.82	55.55	44.4	false	
1	ISS08	common_area	51.68	48.83	58.5	false	
1	ISS09	common_area	46.78	49.55	45.3	false	
2	ISS00	common_area	51.61	48.74	58.9	false	
2	ISS01	common_area	46.76	49.72	45.7	false	
2	ISS02	common_area	52.99	53.32	68.4	false	
2	ISS03	common_area	50.1	44.33	52.6	false	
2	ISS04	common_area	48.58	51.47	53.3	false	
2	ISS05	common_area	53.25	49.83	55.6	false	
2	ISS06	common_area	46.58	47.13	50.6	false	
2	ISS07	common_area	50.69	55.63	42.5	false	
2	ISS08	common_area	51.2	48.34	60.5	false	
2	ISS09	common_area	46.8	50.62	53.4	false	
3	ISS00	common_area	51.11	48.28	63.2	false	
3	ISS01	common_area	46.84	50.79	55.4	false	
3	ISS02	common_area	53.9	52.16	63.1	false	
3	ISS03	common_area	48.25	44.6	59.7	false	
3	ISS04	common_area	49.14	51.85	44.9	false	
3	ISS05	common_area	53.02	48.78	64.1	false	
3	ISS06	common_area	45.83	48.4	45.2	false	
3	ISS07	common_area	52.49	55.1	45.6	false	
3	ISS08	common_area	50.6	48.04	57.5	false	
3	ISS09	common_area	47.18	51.63	33.0	false	
4	ISS00	common_area	50.49	48.01	43.7	false	
4	ISS01	common_area	47.27	51.77	50.4	false	
4	ISS02	common_area	54.4	50.78	54.4	false	
4	ISS03	common_area	46.59	45.47	59.4	false	
4	ISS04	common_area	49.79	52.03	57.6	false	
4	ISS05	common_area	52.46	47.86	67.3	false	
4	ISS06	common_area	45.54	49.84	39.5	false	
4	ISS07	common_area	54.01	54.01	57.5	false	
4	ISS08	common_area	49.93	47.96	57.5	false	
4	ISS09	common_area	47.86	52.46	39.4	false	
5	ISS00	common_area	49.82	47.96	49.0	false	
5	ISS01	common_area	48.0	52.56	65.7	false	
5	ISS02	common_area	54.41	49.3	59.3	false	
5	ISS03	common_area	45.3	46.83	72.3	false	
5	ISS04	common_area	50.46	51.99	50.4	false	
5	ISS05	common_area	51.63	47.18	55.2	false	
5	ISS06	common_area	45.73	51.31	52.5	false	
5	ISS07	common_area	55.1	52.49	58.5	false	
5	ISS08	common_area	49.27	48.09	65.4	false	
5	ISS09	common_area	48.78	53.02	52.5	false	
6	ISS00	crew_quarters	26.33	33.57	62.7	true	
6	ISS01	common_area	48.94	53.08	71.4	false	
6	ISS02	common_area	53.94	47.9	74.5	false	
6	ISS03	common_area	44.52	48.53	73.9	false	
6	ISS04	common_area	51.08	51.74	40.0	false	
6	ISS05	common_area	50.62	46.8	57.7	false	
6	ISS06	common_area	46.39	52.62	55.0	false	
6	ISS07	common_area	55.63	50.69	52.2	false	
6	ISS08	common_area	48.68	48.43	51.1	false	
6	ISS09	common_area	49.83	53.25	51.4	false	
7	ISS00	crew_quarters	26.05	33.75	44.9	false	
7	ISS01	common_area	50.0	53.26	53.7	false	
7	ISS02	common_area	53.04	46.74	62.1	false	
7	ISS03	common_area	44.34	50.4	58.4	false	
7	ISS04	common_area	51.59	51.29	39.3	false	
7	ISS05	common_area	49.55	46.78	49.5	false	
7	ISS06	common_area	47.44	53.66	45.4	false	
7	ISS07	common_area	55.55	48.82	41.7	false	
7	ISS08	common_area	48.25	48.95	65.3	false	
7	ISS09	common_area	50.9	53.13	47.0	false	
8	ISS00	crew_quarters	25.85	34.02	46.1	false	
8	ISS01	common_area	51.06	53.08	46.0	false	
8	ISS02	common_area	51.82	45.92	66.4	false	
8	ISS03	common_area	44.78	52.22	59.7	false	
8	ISS04	common_area	51.92	50.7	35.1	false	
8	ISS05	common_area	48.52	47.1	58.6	false	
8	ISS06	common_area	48.77	54.29	51.9	false	
8	ISS07	common_area	54.86	47.08	44.2	false	
8	ISS08	common_area	48.0	49.57	61.4	false	
8	ISS09	common_area	51.87	52.67	40.0	false	
9	ISS00	crew_quarters	25.74	34.34	49.6	false	
9	ISS01	common_area	52.0	52.56	53.3	false	
9	ISS02	common_area	50.39	45.55	56.0	false	CONF01
9	ISS03	common_area	45.78	53.8	65.6	false	
9	ISS04	common_area	52.05	50.04	36.3	false	
9	ISS05	common_area	47.66	47.74	49.9	false	
9	ISS06	common_area	50.23	54.46	42.2	false	
9	ISS07	common_area	53.65	45.65	62.6	false	CONF01
9	ISS08	common_area	47.97	50.25	60.4	false	
9	ISS09	common_area	52.63	51.91	45.8	false	
10	ISS00	crew_quarters	25.74	34.68	59.2	true	
10	ISS01	common_area	52.73	51.77	62.5	false	
10	ISS02	common_area	48.92	45.67	73.5	false	CONF01
10	ISS03	common_area	47.25	54.96	61.0	false	
10	ISS04	common_area	51.95	49.37	42.7	false	
10	ISS05	common_area	47.05	48.62	64.9	false	
10	ISS06	common_area	51.67	54.14	42.7	false	
10	ISS07	common_area	52.03	44.7	50.8	false	CONF01
10	ISS08	common_area	48.16	50.9	52.6	false	
10	ISS09	common_area	53.11	50.95	50.4	false	
11	ISS00	crew_quarters	25.86	35.0	51.0	false	
11	ISS01	common_area	53.16	50.79	52.8	false	
11	ISS02	common_area	47.57	46.26	54.3	false	REPA01
11	ISS03	common_area	49.01	55.59	56.8	false	
11	ISS04	common_area	51.63	48.77	41.2	false	
11	ISS05	common_area	46.76	49.66	55.2	false	
11	ISS06	common_area	52.93	53.37	37.2	false	
11	ISS07	common_area	50.2	44.33	42.8	false	REPA01
11	ISS08	common_area	48.55	51.45	65.6	false	
11	ISS09	common_area	53.25	49.89	46.5	false	
12	ISS00	crew_quarters	26.07	35.26	64.6	true	
12	ISS01	common_area	53.24	49.72	55.1	false	
12	ISS02	common_area	46.48	47.25	71.1	false	REPA01
12	ISS03	common_area	50.89	55.6	72.7	false	
12	ISS04	common_area	51.14	48.3	59.7	false	
12	ISS05	common_area	46.83	50.73	62.0	false	
12	ISS06	common_area	53.87	52.23	55.1	false	
12	ISS07	common_area	48.34	44.57	52.5	false	REPA01
12	ISS08	common_area	49.1	51.84	70.0	false	
12	ISS09	common_area	53.04	48.83	55.8	false	
13	ISS00	common_area	49.2	51.88	63.8	false	
13	ISS01	common_area	52.97	48.68	60.4	false	
13	ISS02	common_area	45.78	48.55	70.8	false	REPA01
13	ISS03	common_area	52.66	55.01	71.9	false	CONF02
13	ISS04	common_area	50.53	48.02	37.5	false	
13	ISS05	common_area	47.24	51.72	53.3	false	
13	ISS06	common_area	54.38	50.85	38.9	false	
13	ISS07	common_area	46.67	45.41	62.1	false	REPA01
13	ISS08	common_area	49.75	52.03	63.0	false	
13	ISS09	common_area	52.49	47.91	52.9	false	CONF02
14	ISS00	hab_module	26.63	51.7	47.3	false	
