step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
1	ISS00	common_area	51.93	49.33	55.0	false	
1	ISS01	common_area	47.03	48.68	59.6	false	
1	ISS02	common_area	51.74	54.11	58.1	false	
1	ISS03	common_area	51.94	44.67	59.0	false	
1	ISS04	common_area	48.18	50.93	50.2	false	
1	ISS05	common_area	53.13	50.9	43.9	false	
1	ISS06	common_area	47.7	46.17	49.1	false	
1	ISS07	common_area	48.82	55.55	44.4	false	
1	ISS08	common_area	51.68	48.83	67.5	false	
1	ISS09	common_area	46.78	49.55	33.2	false	
2	ISS00	hab_module	28.09	48.95	62.5	false	
2	ISS01	common_area	46.76	49.72	47.5	false	
2	ISS02	common_area	52.99	53.32	55.4	false	
2	ISS03	common_area	50.1	44.33	61.6	false	
2	ISS04	common_area	48.58	51.47	50.6	false	
2	ISS05	common_area	53.25	49.83	61.5	false	
2	ISS06	common_area	46.58	47.13	38.5	false	
2	ISS07	common_area	50.69	55.63	48.4	false	
2	ISS08	common_area	51.2	48.34	51.0	false	
2	ISS09	common_area	46.8	50.62	34.5	false	
3	ISS00	hab_module	27.68	48.57	56.5	false	
3	ISS01	common_area	46.84	50.79	58.5	false	
3	ISS02	common_area	53.9	52.16	69.0	false	
3	ISS03	common_area	48.25	44.6	71.9	false	
3	ISS04	common_area	49.14	51.85	52.5	false	
3	ISS05	common_area	53.02	48.78	65.9	false	
3	ISS06	common_area	45.83	48.4	45.2	false	
3	ISS07	common_area	52.49	55.1	53.3	false	
3	ISS08	common_area	50.6	48.04	62.4	false	
3	ISS09	common_area	47.18	51.63	39.3	false	
4	ISS00	hab_module	27.16	48.35	47.3	false	
4	ISS01	common_area	47.27	51.77	68.8	false	
4	ISS02	common_area	54.4	50.78	59.8	false	
4	ISS03	common_area	46.59	45.47	54.5	false	
4	ISS04	common_area	49.79	52.03	41.4	false	
4	ISS05	common_area	52.46	47.86	51.6	false	
4	ISS06	common_area	45.54	49.84	47.6	false	
4	ISS07	common_area	54.01	54.01	42.7	false	
4	ISS08	common_area	49.93	47.96	53.5	false	
4	ISS09	common_area	47.86	52.46	43.9	false	
5	ISS00	hab_module	26.6	48.3	61.2	false	
5	ISS01	common_area	48.0	52.56	52.6	false	
5	ISS02	common_area	54.41	49.3	61.5	false	
5	ISS03	common_area	45.3	46.83	74.6	false	
5	ISS04	common_area	50.46	51.99	51.3	false	
5	ISS05	common_area	51.63	47.18	57.9	false	
5	ISS06	common_area	45.73	51.31	54.8	false	
5	ISS07	common_area	55.1	52.49	46.8	false	
5	ISS08	common_area	49.27	48.09	62.2	false	
5	ISS09	common_area	48.78	53.02	38.5	false	
6	ISS00	hab_module	26.06	48.44	48.2	false	
6	ISS01	common_area	48.94	53.08	67.2	false	
6	ISS02	common_area	53.94	47.9	74.8	false	
6	ISS03	common_area	44.52	48.53	70.2	false	
6	ISS04	common_area	51.08	51.74	56.7	false	
6	ISS05	common_area	50.62	46.8	51.7	false	
6	ISS06	common_area	46.39	52.62	45.9	false	
6	ISS07	common_area	55.63	50.69	56.1	false	
6	ISS08	common_area	48.68	48.43	60.9	false	
6	ISS09	common_area	49.83	53.25	55.3	false	
7	ISS00	hab_module	25.59	48.75	53.4	false	
7	ISS01	common_area	50.0	53.26	61.7	false	
7	ISS02	common_area	53.04	46.74	52.1	false	
7	ISS03	common_area	44.34	50.4	63.7	false	
7	ISS04	common_area	51.59	51.29	35.6	false	
7	ISS05	common_area	49.55	46.78	61.5	false	
7	ISS06	common_area	47.44	53.66	45.7	false	
7	ISS07	common_area	55.55	48.82	54.2	false	
7	ISS08	common_area	48.25	48.95	52.6	false	
7	ISS09	common_area	50.9	53.13	50.1	false	
8	ISS00	hab_module	25.24	49.2	41.0	false	
8	ISS01	common_area	51.06	53.08	65.2	false	
8	ISS02	common_area	51.82	45.92	63.1	false	
8	ISS03	common_area	44.78	52.22	57.4	false	
8	ISS04	common_area	51.92	50.7	48.5	false	
8	ISS05	common_area	48.52	47.1	45.0	false	
8	ISS06	common_area	48.77	54.29	37.4	false	
8	ISS07	common_area	54.86	47.08	35.6	false	
8	ISS08	common_area	48.0	49.57	53.7	false	
8	ISS09	common_area	51.87	52.67	33.6	false	
9	ISS00	hab_module	25.07	49.73	59.8	false	
9	ISS01	common_area	52.0	52.56	56.8	false	
9	ISS02	common_area	50.39	45.55	67.5	false	CONF01
9	ISS03	common_area	45.78	53.8	63.7	false	
9	ISS04	common_area	52.05	50.04	38.9	false	
9	ISS05	common_area	47.66	47.74	48.0	false	
9	ISS06	common_area	50.23	54.46	48.4	false	
9	ISS07	common_area	53.65	45.65	46.7	false	CONF01
9	ISS08	common_area	47.97	50.25	52.6	false	
9	ISS09	common_area	52.63	51.91	39.8	false	
10	ISS00	hab_module	25.07	50.3	52.3	false	
10	ISS01	common_area	52.73	51.77	64.6	false	
10	ISS02	lab_module	72.35	46.39	57.6	false	REPB01
10	ISS03	common_area	47.25	54.96	73.0	false	
10	ISS04	common_area	51.95	49.37	36.7	false	
10	ISS05	exercise_area	48.03	72.33	49.9	false	
10	ISS06	lab_module	74.64	53.45	39.4	false	
10	ISS07	common_area	52.03	44.7	58.3	false	REPB01
10	ISS08	common_area	48.16	50.9	64.6	false	
10	ISS09	common_area	53.11	50.95	39.0	false	
11	ISS00	hab_module	25.26	50.83	46.8	false	
11	ISS01	common_area	53.16	50.79	62.5	false	
11	ISS02	lab_module	71.22	46.88	63.0	false	REPB01
11	ISS03	common_area	49.01	55.59	63.0	false	
11	ISS04	common_area	51.63	48.77	52.3	false	
11	ISS05	exercise_area	47.84	73.02	62.7	false	
11	ISS06	lab_module	75.69	52.81	40.2	false	
11	ISS07	common_area	50.2	44.33	50.2	false	REPB01
11	ISS08	common_area	48.55	51.45	70.8	false	
11	ISS09	common_area	53.25	49.89	43.7	false	
12	ISS00	hab_module	25.61	51.27	62.2	false	
12	ISS01	common_area	53.24	49.72	58.5	false	
12	ISS02	lab_module	70.32	47.71	73.1	false	
12	ISS03	common_area	50.89	55.6	55.6	false	
12	ISS04	common_area	51.14	48.3	42.0	false	
12	ISS05	exercise_area	47.89	73.74	53.8	false	
12	ISS06	lab_module	76.47	51.86	51.8	false	
12	ISS07	common_area	48.34	44.57	47.8	false	
12	ISS08	common_area	49.1	51.84	60.5	false	
12	ISS09	common_area	53.04	48.83	40.8	false	
13	ISS00	hab_module	26.08	51.57	61.8	false	
13	ISS01	common_area	52.97	48.68	59.3	false	
13	ISS02	lab_module	69.73	48.79	71.4	false	
13	ISS03	common_area	52.66	55.01	81.4	false	CONF02
13	ISS04	common_area	50.53	48.02	40.9	false	
13	ISS05	exercise_area	48.16	74.4	67.6	false	
13	ISS06	lab_module	76.9	50.71	49.1	false	
13	ISS07	common_area	46.67	45.41	47.0	false	
13	ISS08	common_area	49.75	52.03	52.9	false	
13	ISS09	common_area	52.49	47.91	59.2	false	CONF02
14	ISS00	hab_module	26.63	51.7	38.6	false	
14	ISS01	common_area	52.38	47.78	57.5	false	
14	ISS02	lab_module	69.53	50.0	50.0	false	
14	ISS03	common_area	54.15	53.87	50.3	false	REPB02
14	ISS04	common_area	49.86	47.96	47.3	false	
14	ISS05	exercise_area	48.63	74.94	57.4	false	
14	ISS06	lab_module	76.93	49.48	54.9	false	
14	ISS07	common_area	45.35	46.75	41.8	false	
14	ISS08	common_area	50.43	52.0	48.6	false	
14	ISS09	common_area	51.68	47.21	39.0	false	REPB02
15	ISS00	hab_module	27.19	51.65	43.0	false	
15	ISS01	common_area	51.53	47.13	44.5	false	
15	ISS02	lab_module	69.73	51.21	71.4	false	
15	ISS03	common_area	55.18	52.31	66.7	false	REPB02
15	ISS04	common_area	49.2	48.12	48.5	false	
15	ISS05	exercise_area	49.26	75.29	50.9	false	
15	ISS06	lab_module	76.56	48.31	46.5	false	
15	ISS07	common_area	44.55	48.44	57.1	false	
15	ISS08	common_area	51.05	51.75	43.7	false	
15	ISS09	common_area	50.68	46.82	33.4	false	REPB02
16	ISS00	hab_module	27.7	51.41	43.2	false	
16	ISS01	common_area	50.51	46.79	58.9	false	
16	ISS02	lab_module	70.32	52.29	61.3	false	
16	ISS03	common_area	55.65	50.49	63.7	false	
16	ISS04	common_area	48.63	48.48	39.0	false	
16	ISS05	exercise_area	49.96	75.42	59.5	false	
16	ISS06	lab_module	75.83	47.32	53.8	false	
16	ISS07	common_area	44.33	50.3	43.7	false	
16	ISS08	common_area	51.57	51.32	47.2	false	
16	ISS09	common_area	49.6	46.77	48.0	false	
17	ISS00	hab_module	28.11	51.03	48.8	false	
17	ISS01	common_area	49.43	46.79	60.1	false	
17	ISS02	lab_module	71.22	53.12	58.3	false	
17	ISS03	common_area	55.5	48.63	64.4	false	
17	ISS04	common_area	48.21	49.01	48.6	false	
17	ISS05	exercise_area	50.67	75.31	61.2	false	
17	ISS06	lab_module	74.82	46.63	40.6	false	
17	ISS07	common_area	44.74	52.13	40.5	false	
17	ISS08	common_area	51.91	50.73	54.2	false	
17	ISS09	common_area	48.57	47.07	51.5	false	
18	ISS00	hab_module	28.37	50.53	46.9	false	
18	ISS01	common_area	48.42	47.15	58.0	false	
18	ISS02	lab_module	72.35	53.61	54.3	false	
18	ISS03	common_area	54.76	46.91	67.6	false	
18	ISS04	common_area	47.99	49.64	43.7	false	
18	ISS05	exercise_area	51.31	74.98	66.6	false	
18	ISS06	lab_module	73.64	46.3	35.7	false	
18	ISS07	common_area	45.72	53.72	48.0	false	
18	ISS08	common_area	52.04	50.07	60.6	false	
18	ISS09	common_area	47.7	47.7	46.8	false	
19	ISS00	hab_module	28.45	49.97	51.8	false	
19	ISS01	cupola	48.79	25.66	65.9	false	
19	ISS02	lab_module	73.57	53.71	63.8	false	
19	ISS03	common_area	53.49	45.53	60.4	false	
19	ISS04	common_area	47.98	50.32	54.9	false	
19	ISS05	exercise_area	51.8	74.46	63.0	false	
19	ISS06	lab_module	72.41	46.38	39.9	false	
19	ISS07	common_area	47.16	54.91	57.1	false	
19	ISS08	common_area	51.96	49.4	54.1	false	
19	ISS09	common_area	47.07	48.57	37.6	false	
20	ISS00	hab_module	28.35	49.42	51.8	false	
20	ISS01	cupola	48.5	26.11	70.2	false	
20	ISS02	lab_module	74.76	53.4	78.0	false	CONF03
20	ISS03	common_area	51.85	44.64	69.1	false	
20	ISS04	common_area	48.19	50.96	43.5	false	
20	ISS05	exercise_area	52.1	73.81	77.0	false	CONF03
20	ISS06	lab_module	71.28	46.85	43.0	false	
20	ISS07	common_area	48.92	55.57	45.9	false	
20	ISS08	common_area	51.66	48.8	57.8	false	
20	ISS09	common_area	46.77	49.6	45.5	false	
21	ISS00	hab_module	28.08	48.93	42.4	false	
21	ISS01	cupola	48.38	26.64	61.6	false	
21	ISS02	lab_module	75.79	52.72	48.0	false	REPB03
21	ISS03	common_area	50.0	44.33	47.2	false	
21	ISS04	common_area	48.6	51.5	40.9	false	
21	ISS05	exercise_area	52.16	73.1	54.1	false	REPB03
21	ISS06	lab_module	70.36	47.66	47.1	false	
21	ISS07	common_area	50.79	55.62	33.3	false	
21	ISS08	common_area	51.17	48.32	52.8	false	
21	ISS09	common_area	46.82	50.68	33.2	false	
22	ISS00	hab_module	27.65	48.55	46.7	false	
22	ISS01	cupola	48.43	27.17	53.4	false	
22	ISS02	lab_module	76.53	51.75	59.5	false	REPB03
22	ISS03	common_area	48.15	44.64	59.1	false	
22	ISS04	common_area	49.17	51.87	39.0	false	
22	ISS05	exercise_area	52.0	72.4	42.2	false	REPB03
22	ISS06	lab_module	69.75	48.73	43.5	false	
22	ISS07	common_area	52.58	55.05	46.5	false	
22	ISS08	common_area	50.56	48.03	61.9	false	
22	ISS09	common_area	47.21	51.68	30.5	false	
23	ISS00	hab_module	27.13	48.34	56.0	false	
23	ISS01	cupola	48.65	27.66	65.1	false	
23	ISS02	lab_module	76.92	50.58	59.9	false	
23	ISS03	common_area	46.51	45.53	67.2	false	
23	ISS04	common_area	49.82	52.04	47.3	false	
23	ISS05	exercise_area	51.61	71.8	52.1	false	
23	ISS06	lab_module	69.53	49.94	51.2	false	
23	ISS07	common_area	54.08	53.94	51.6	false	
23	ISS08	common_area	49.89	47.96	56.7	false	
23	ISS09	common_area	47.91	52.49	33.5	false	
24	ISS00	hab_module	26.57	48.3	57.3	false	
24	ISS01	cupola	49.02	28.05	53.9	false	
24	ISS02	lab_module	76.91	49.35	65.3	false	
24	ISS03	common_area	45.24	46.91	64.0	false	
24	ISS04	common_area	50.49	51.99	37.1	false	
24	ISS05	exercise_area	51.05	71.35	48.9	false	
24	ISS06	lab_module	69.71	51.15	41.9	false	
24	ISS07	common_area	55.14	52.4	38.4	false	
24	ISS08	common_area	49.23	48.1	64.4	false	
24	ISS09	common_area	48.83	53.04	53.7	false	
25	ISS00	hab_module	26.03	48.45	48.7	false	
25	ISS01	cupola	49.5	28.3	57.5	false	
25	ISS02	lab_module	76.5	48.2	53.3	false	
25	ISS03	common_area	44.5	48.63	72.0	false	
25	ISS04	common_area	51.11	51.72	33.6	false	
25	ISS05	exercise_area	50.38	71.11	56.3	false	
25	ISS06	lab_module	70.28	52.24	46.4	false	
25	ISS07	common_area	55.64	50.59	47.0	false	
25	ISS08	common_area	48.66	48.46	58.0	false	
25	ISS09	common_area	49.89	53.25	40.4	false	
26	ISS00	hab_module	25.57	48.77	50.0	false	
26	ISS01	cupola	50.03	28.38	58.0	false	
26	ISS02	lab_module	75.74	47.24	72.1	false	
26	ISS03	common_area	44.35	50.49	56.2	false	
26	ISS04	common_area	51.61	51.26	53.6	false	
26	ISS05	exercise_area	49.66	71.11	49.1	false	
26	ISS06	lab_module	71.17	53.08	49.9	false	
26	ISS07	common_area	55.53	48.72	45.0	false	
26	ISS08	common_area	48.23	48.98	67.1	false	
26	ISS09	common_area	50.95	53.11	42.2	false	
27	ISS00	hab_module	25.23	49.23	72.2	false	CONF04
27	ISS01	cupola	50.56	28.28	61.6	false	
27	ISS02	lab_module	74.7	46.58	59.2	false	
27	ISS03	common_area	44.82	52.31	73.4	false	
27	ISS04	common_area	51.93	50.67	48.4	false	
27	ISS05	exercise_area	48.98	71.33	66.5	false	
27	ISS06	lab_module	72.29	53.59	47.6	false	
27	ISS07	common_area	54.81	46.99	42.3	false	
27	ISS08	common_area	47.99	49.61	77.2	false	CONF04
27	ISS09	common_area	51.91	52.63	42.2	false	
28	ISS00	hab_module	25.06	49.76	54.6	false	CONF04
28	ISS01	cupola	51.02	28.01	56.1	false	
28	ISS02	lab_module	73.51	46.29	44.3	false	
28	ISS03	common_area	45.85	53.87	64.3	false	
28	ISS04	common_area	52.05	50.0	39.8	false	
28	ISS05	exercise_area	48.41	71.77	57.4	false	
28	ISS06	lab_module	73.51	53.71	49.7	false	
28	ISS07	common_area	53.57	45.59	44.5	false	
28	ISS08	common_area	47.97	50.28	67.6	false	CONF04
28	ISS09	common_area	52.67	51.87	47.3	false	
29	ISS00	hab_module	25.08	50.33	58.1	false	REPB04
29	ISS01	cupola	51.38	27.61	44.4	false	
29	ISS02	lab_module	72.29	46.41	69.8	false	
29	ISS03	common_area	47.34	55.01	61.4	false	
29	ISS04	common_area	51.93	49.33	52.4	false	
29	ISS05	exercise_area	48.02	72.37	46.3	false	
29	ISS06	lab_module	74.7	53.42	37.1	false	
29	ISS07	common_area	51.94	44.67	53.2	false	
29	ISS08	common_area	48.18	50.93	58.1	false	REPB04
29	ISS09	common_area	53.13	50.9	35.1	false	
30	ISS00	hab_module	25.27	50.85	57.1	false	REPB04
30	ISS01	cupola	51.59	27.12	60.2	false	
30	ISS02	lab_module	71.17	46.92	52.5	false	
30	ISS03	common_area	49.11	55.6	65.2	false	
30	ISS04	common_area	51.61	48.74	39.9	false	
30	ISS05	exercise_area	47.84	73.06	48.0	false	
30	ISS06	lab_module	75.74	52.76	45.2	false	
30	ISS07	common_area	50.1	44.33	35.9	false	
30	ISS08	common_area	48.58	51.47	61.0	false	REPB04
30	ISS09	common_area	53.25	49.83	35.7	false	
31	ISS00	hab_module	25.63	51.29	44.1	false	
31	ISS01	cupola	51.62	26.58	55.1	false	
31	ISS02	lab_module	70.28	47.76	58.1	false	
31	ISS03	common_area	50.99	55.59	70.0	false	
31	ISS04	common_area	51.11	48.28	47.2	false	
31	ISS05	exercise_area	47.89	73.77	48.1	false	
31	ISS06	lab_module	76.5	51.8	55.9	false	
31	ISS07	common_area	48.25	44.6	55.4	false	
31	ISS08	common_area	49.14	51.85	54.3	false	
31	ISS09	common_area	53.02	48.78	49.2	false	
32	ISS00	hab_module	26.11	51.58	47.5	false	
32	ISS01	cupola	51.48	26.06	62.3	false	
32	ISS02	lab_module	69.71	48.85	58.6	false	
32	ISS03	common_area	52.75	54.96	62.2	false	
32	ISS04	common_area	50.49	48.01	48.1	false	
32	ISS05	exercise_area	48.18	74.43	42.9	false	
32	ISS06	lab_module	76.91	50.65	44.5	false	
32	ISS07	common_area	46.59	45.47	36.7	false	
32	ISS08	common_area	49.79	52.03	48.4	false	
32	ISS09	common_area	52.46	47.86	32.9	false	
33	ISS00	hab_module	26.66	51.7	66.3	false	
33	ISS01	cupola	51.17	25.62	54.5	false	
33	ISS02	lab_module	69.53	50.06	66.9	false	
33	ISS03	common_area	54.22	53.8	72.9	false	
33	ISS04	common_area	49.82	47.96	36.6	false	
33	ISS05	exercise_area	48.66	74.96	62.0	false	
33	ISS06	lab_module	76.92	49.42	47.2	false	
33	ISS07	common_area	45.3	46.83	46.9	false	
33	ISS08	common_area	50.46	51.99	57.4	false	
33	ISS09	common_area	51.63	47.18	40.1	false	
34	ISS00	hab_module	27.22	51.64	53.6	false	
34	ISS01	cupola	50.74	25.3	54.6	false	
34	ISS02	lab_module	69.75	51.27	58.1	false	
34	ISS03	common_area	55.22	52.22	71.1	false	
34	ISS04	common_area	49.17	48.13	43.6	false	
34	ISS05	exercise_area	49.29	75.3	52.0	false	
34	ISS06	lab_module	76.53	48.25	59.4	false	CONF05
34	ISS07	common_area	44.52	48.53	54.3	false	
34	ISS08	common_area	51.08	51.74	76.5	false	CONF05
34	ISS09	common_area	50.62	46.8	37.6	false	
35	ISS00	hab_module	27.73	51.4	50.1	false	
35	ISS01	cupola	50.23	25.14	48.6	false	
35	ISS02	lab_module	70.36	52.34	64.1	false	
35	ISS03	common_area	55.66	50.4	58.1	false	
35	ISS04	common_area	48.6	48.5	41.0	false	
35	ISS05	exercise_area	50.0	75.42	50.3	false	
35	ISS06	lab_module	75.79	47.28	33.6	false	REPB05
35	ISS07	common_area	44.34	50.4	38.7	false	
35	ISS08	common_area	51.59	51.29	51.8	false	REPB05
35	ISS09	common_area	49.55	46.78	42.1	false	
36	ISS00	hab_module	28.13	51.0	47.0	false	
36	ISS01	cupola	49.69	25.15	55.7	false	
36	ISS02	lab_module	71.28	53.15	65.8	false	
36	ISS03	common_area	55.48	48.53	50.6	false	
36	ISS04	common_area	48.19	49.04	34.8	false	
36	ISS05	exercise_area	50.71	75.3	48.8	false	
36	ISS06	lab_module	74.76	46.6	41.4	false	REPB05
36	ISS07	common_area	44.78	52.22	39.3	false	
36	ISS08	common_area	51.92	50.7	56.8	false	REPB05
36	ISS09	common_area	48.52	47.1	44.8	false	
37	ISS00	hab_module	28.38	50.5	55.6	false	
37	ISS01	cupola	49.19	25.34	54.5	false	
37	ISS02	lab_module	72.41	53.62	51.0	false	
37	ISS03	common_area	54.7	46.83	61.9	false	
37	ISS04	common_area	47.98	49.68	37.5	false	
37	ISS05	exercise_area	51.34	74.96	48.8	false	
37	ISS06	lab_module	73.57	46.29	40.8	false	
37	ISS07	common_area	45.78	53.8	42.4	false	
37	ISS08	common_area	52.05	50.04	56.2	false	
37	ISS09	common_area	47.66	47.74	47.8	false	
38	ISS00	hab_module	28.45	49.94	41.6	false	
38	ISS01	cupola	48.77	25.68	45.1	false	
38	ISS02	lab_module	73.64	53.7	52.9	false	
